pID,condition,question,answer,reason
2,smallmultiples_overlays_shadowmarks,speed,Shadow Marks,It was easier to compare all the videos faster.
2,smallmultiples_overlays_shadowmarks,accuracy,Shadow Marks,It was the easiest way to compare all the videos at once.
2,smallmultiples_overlays_shadowmarks,preference,Shadow Marks,The other techniques were too time consuming and stressful. I also wasn't very good at this.
5,overlays_shadowmarks_smallmultiples,speed,Shadow Marks,"I was able to leave a marker, keep playing the video and accuratly determine if another plant went over the set marker"
5,overlays_shadowmarks_smallmultiples,accuracy,Shadow Marks,as above
5,overlays_shadowmarks_smallmultiples,preference,Shadow Marks,as above
6,shadowmarks_smallmultiples_overlays,speed,Shadow Marks,direct comparison between many more sunflowers in one go
6,shadowmarks_smallmultiples_overlays,accuracy,Shadow Marks,direct comparison between many more sunflowers in one go
6,shadowmarks_smallmultiples_overlays,preference,Shadow Marks,direct comparison between many more sunflowers in one go
7,shadowmarks_overlays_smallmultiples,speed,Shadow Marks,The grid made it a lot easier to find the tallest plant.
7,shadowmarks_overlays_smallmultiples,accuracy,Shadow Marks,The grid.
7,shadowmarks_overlays_smallmultiples,preference,Shadow Marks,It was the easiest to vizualize with.
8,smallmultiples_overlays_shadowmarks,speed,Shadow Marks,it allowed you to compare the heights more easily 
8,smallmultiples_overlays_shadowmarks,accuracy,Shadow Marks,there was a guideline of the height of a specific plant so if you were uncertain you could easily check the height of that one compared to another
8,smallmultiples_overlays_shadowmarks,preference,Shadow Marks,it was quicker
9,smallmultiples_shadowmarks_overlays,speed,Overlays,easies to directly compare and easy to add or remove a plant from the overlay.
9,smallmultiples_shadowmarks_overlays,accuracy,Overlays,Was able to easily measure up and compare multiple plants and easily tell which one reached a higher point. 
9,smallmultiples_shadowmarks_overlays,preference,Overlays,Very easy to add and remove plants from the overlay with a simple click. 
11,overlays_smallmultiples_shadowmarks,speed,Overlays,easier to spot the tallest by stacking them on top of each other
11,overlays_smallmultiples_shadowmarks,accuracy,Overlays,easier to spot the tallest by stacking them on top of each other
11,overlays_smallmultiples_shadowmarks,preference,Overlays,easier to spot the tallest by stacking them on top of each other
15,shadowmarks_smallmultiples_overlays,speed,Small Multiples,It's more intuitive and less system dependant.
15,shadowmarks_smallmultiples_overlays,accuracy,Small Multiples,Same reason as above.
15,shadowmarks_smallmultiples_overlays,preference,Small Multiples,It's easier to operate and find the right solution.
16,overlays_smallmultiples_shadowmarks,speed,Overlays,I could see through
16,overlays_smallmultiples_shadowmarks,accuracy,Shadow Marks,Dimensions
16,overlays_smallmultiples_shadowmarks,preference,Overlays,Seeing Through others
18,smallmultiples_overlays_shadowmarks,speed,Shadow Marks,It allowed me to compare all the flowers at once instead of having to compare 2 at a time to easily find the highest point.
18,smallmultiples_overlays_shadowmarks,accuracy,Shadow Marks,Having a constant mark of the highest point made it easier to compare each flower
18,smallmultiples_overlays_shadowmarks,preference,Shadow Marks,Easier to use and quicker to find the correct result
19,smallmultiples_shadowmarks_overlays,speed,Shadow Marks,It was easier for me to complete with the marks.
19,smallmultiples_shadowmarks_overlays,accuracy,Shadow Marks,Because the points that I marked helped me see more accurately and the results were accurate.
19,smallmultiples_shadowmarks_overlays,preference,Shadow Marks,Because it was the most convenient one.
20,overlays_smallmultiples_shadowmarks,speed,Shadow Marks,was easier to compare using the markers
20,overlays_smallmultiples_shadowmarks,accuracy,Shadow Marks,it built a representative of the height
20,overlays_smallmultiples_shadowmarks,preference,Shadow Marks,I found it the most easiest and helpful technique
21,overlays_shadowmarks_smallmultiples,speed,Overlays,It was easy to do the task when plants were overlay on each other
21,overlays_shadowmarks_smallmultiples,accuracy,Shadow Marks,NA
21,overlays_shadowmarks_smallmultiples,preference,Overlays,It was the fastest I can finish the task
22,shadowmarks_smallmultiples_overlays,speed,Shadow Marks,It was easier having a grid to help measure the plants.
22,shadowmarks_smallmultiples_overlays,accuracy,Shadow Marks,The red lines really kelped.
22,shadowmarks_smallmultiples_overlays,preference,Shadow Marks,It was the easiest.
24,shadowmarks_overlays_smallmultiples,speed,Shadow Marks,This technique allows me to compare all of the plants at the same time by looking at the horizontal line.
24,shadowmarks_overlays_smallmultiples,accuracy,Shadow Marks,The red horizontal line was precise and useful.
24,shadowmarks_overlays_smallmultiples,preference,Shadow Marks,It saved me the most time out of all of them.
25,smallmultiples_shadowmarks_overlays,speed,Shadow Marks,Cos you could easily compare
25,smallmultiples_shadowmarks_overlays,accuracy,Shadow Marks,The grid marks
25,smallmultiples_shadowmarks_overlays,preference,Shadow Marks,Comparisons over frames
